^PRODOTTO^|^DESCRIZIONE^|^DESCRIZIONE TECNICA^|^LIV^|^COMPONENTE^|^DesComp^|^DesComp1^|^UM^|^QTIMPIEGATA^|^QTEFFETTIVA^
^A205503^|^MORSETTO NOVO AZZURRO COMPLETO^|^<241-242-243>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|50|55
^A205504^|^MORSETTO NOVO C/M BIANCO COMPL^|^ETO <241-242-243>^|1|7708800|^UNI 5931 M6x25 ZINCATE BIANCHE^|^(IRSAP)^|^PZ^|2|2
^A205504^|^MORSETTO NOVO C/M BIANCO COMPL^|^ETO <241-242-243>^|1|7900048|^CARTONI 400x300x200^||^PZ^|0.01|0.01
^A205504^|^MORSETTO NOVO C/M BIANCO COMPL^|^ETO <241-242-243>^|1|^C280200^|^BRACCIO RADIAT. SINTESI-NOVO D^|^A 25 Lavorato (INT.PAT) <242>^|^PZ^|1|1
^A205504^|^MORSETTO NOVO C/M BIANCO COMPL^|^ETO <241-242-243>^|2|^E280200^|^BRACCIO RADIAT. SINTESI-NOVO D^|^A 25 grezzo (INT.PAT) <242>^|^PZ^|1|1
^A205504^|^MORSETTO NOVO C/M BIANCO COMPL^|^ETO <241-242-243>^|3|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|29|31.9
^A205504^|^MORSETTO NOVO C/M BIANCO COMPL^|^ETO <241-242-243>^|1|^C280300^|^ATTACCO RADIATORE NOVO DA 25^|^Lavorato <243>^|^PZ^|1|1
^A205504^|^MORSETTO NOVO C/M BIANCO COMPL^|^ETO <241-242-243>^|2|^E280300^|^ATTACCO RADIATORE NOVO DA 25 g^|^rezzo <243>^|^PZ^|1|1
^A205504^|^MORSETTO NOVO C/M BIANCO COMPL^|^ETO <241-242-243>^|3|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|70|77
^A205504^|^MORSETTO NOVO C/M BIANCO COMPL^|^ETO <241-242-243>^|1|^C280500^|^ATTACCO A MURO BANDIERA-VELA-N^|^OVO Lavorato           <241>^|^PZ^|1|1
^A205504^|^MORSETTO NOVO C/M BIANCO COMPL^|^ETO <241-242-243>^|2|^E280500^|^ATTACCO A MURO BANDIERA-VELA-N^|^OVO GREZZO           <241>^|^PZ^|1|1
^A205504^|^MORSETTO NOVO C/M BIANCO COMPL^|^ETO <241-242-243>^|3|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|50|55
^A205505^|^MORSETTO NOVO BLU COMPLETO^|^<241-242-243>^|1|7708800|^UNI 5931 M6x25 ZINCATE BIANCHE^|^(IRSAP)^|^PZ^|2|2
^A205505^|^MORSETTO NOVO BLU COMPLETO^|^<241-242-243>^|1|^E280200^|^BRACCIO RADIAT. SINTESI-NOVO D^|^A 25 grezzo (INT.PAT) <242>^|^PZ^|1|1
^A205505^|^MORSETTO NOVO BLU COMPLETO^|^<241-242-243>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|29|31.9
^A205505^|^MORSETTO NOVO BLU COMPLETO^|^<241-242-243>^|1|^E280300^|^ATTACCO RADIATORE NOVO DA 25 g^|^rezzo <243>^|^PZ^|1|1
^A205505^|^MORSETTO NOVO BLU COMPLETO^|^<241-242-243>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|70|77
^A205505^|^MORSETTO NOVO BLU COMPLETO^|^<241-242-243>^|1|^E280500^|^ATTACCO A MURO BANDIERA-VELA-N^|^OVO GREZZO           <241>^|^PZ^|1|1
^A205505^|^MORSETTO NOVO BLU COMPLETO^|^<241-242-243>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|50|55
^A205506^|^MORSETTO NOVO CREMA COMPLETO^|^<241-242>^|1|7708800|^UNI 5931 M6x25 ZINCATE BIANCHE^|^(IRSAP)^|^PZ^|2|2
^A205506^|^MORSETTO NOVO CREMA COMPLETO^|^<241-242>^|1|^E280200^|^BRACCIO RADIAT. SINTESI-NOVO D^|^A 25 grezzo (INT.PAT) <242>^|^PZ^|1|1
^A205506^|^MORSETTO NOVO CREMA COMPLETO^|^<241-242>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|29|31.9
^A205506^|^MORSETTO NOVO CREMA COMPLETO^|^<241-242>^|1|^E280300^|^ATTACCO RADIATORE NOVO DA 25 g^|^rezzo <243>^|^PZ^|1|1
^A205506^|^MORSETTO NOVO CREMA COMPLETO^|^<241-242>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|70|77
^A205506^|^MORSETTO NOVO CREMA COMPLETO^|^<241-242>^|1|^E280500^|^ATTACCO A MURO BANDIERA-VELA-N^|^OVO GREZZO           <241>^|^PZ^|1|1
^A205506^|^MORSETTO NOVO CREMA COMPLETO^|^<241-242>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|50|55
^A205507^|^MORSETTO NOVO GIALLO COMPLETO^||1|7708800|^UNI 5931 M6x25 ZINCATE BIANCHE^|^(IRSAP)^|^PZ^|2|2
^A205507^|^MORSETTO NOVO GIALLO COMPLETO^||1|^E280200^|^BRACCIO RADIAT. SINTESI-NOVO D^|^A 25 grezzo (INT.PAT) <242>^|^PZ^|1|1
^A205507^|^MORSETTO NOVO GIALLO COMPLETO^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|29|31.9
^A205507^|^MORSETTO NOVO GIALLO COMPLETO^||1|^E280300^|^ATTACCO RADIATORE NOVO DA 25 g^|^rezzo <243>^|^PZ^|1|1
^A205507^|^MORSETTO NOVO GIALLO COMPLETO^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|70|77
^A205507^|^MORSETTO NOVO GIALLO COMPLETO^||1|^E280500^|^ATTACCO A MURO BANDIERA-VELA-N^|^OVO GREZZO           <241>^|^PZ^|1|1
^A205507^|^MORSETTO NOVO GIALLO COMPLETO^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|50|55
^A205508^|^MORSETTO NOVO GRIGIO COMPLETO^||1|7708800|^UNI 5931 M6x25 ZINCATE BIANCHE^|^(IRSAP)^|^PZ^|2|2
^A205508^|^MORSETTO NOVO GRIGIO COMPLETO^||1|^E280200^|^BRACCIO RADIAT. SINTESI-NOVO D^|^A 25 grezzo (INT.PAT) <242>^|^PZ^|1|1
^A205508^|^MORSETTO NOVO GRIGIO COMPLETO^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|29|31.9
^A205508^|^MORSETTO NOVO GRIGIO COMPLETO^||1|^E280300^|^ATTACCO RADIATORE NOVO DA 25 g^|^rezzo <243>^|^PZ^|1|1
^A205508^|^MORSETTO NOVO GRIGIO COMPLETO^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|70|77
^A205508^|^MORSETTO NOVO GRIGIO COMPLETO^||1|^E280500^|^ATTACCO A MURO BANDIERA-VELA-N^|^OVO GREZZO           <241>^|^PZ^|1|1
^A205508^|^MORSETTO NOVO GRIGIO COMPLETO^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|50|55
^A205509^|^MORSETTO NOVO MARRONE COMPLETO^||1|7708800|^UNI 5931 M6x25 ZINCATE BIANCHE^|^(IRSAP)^|^PZ^|2|2
^A205509^|^MORSETTO NOVO MARRONE COMPLETO^||1|^E280200^|^BRACCIO RADIAT. SINTESI-NOVO D^|^A 25 grezzo (INT.PAT) <242>^|^PZ^|1|1
^A205509^|^MORSETTO NOVO MARRONE COMPLETO^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|29|31.9
^A205509^|^MORSETTO NOVO MARRONE COMPLETO^||1|^E280300^|^ATTACCO RADIATORE NOVO DA 25 g^|^rezzo <243>^|^PZ^|1|1
^A205509^|^MORSETTO NOVO MARRONE COMPLETO^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|70|77
^A205509^|^MORSETTO NOVO MARRONE COMPLETO^||1|^E280500^|^ATTACCO A MURO BANDIERA-VELA-N^|^OVO GREZZO           <241>^|^PZ^|1|1
^A205509^|^MORSETTO NOVO MARRONE COMPLETO^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|50|55
^A205510^|^MORSETTO NOVO NERO COMPLETO^||1|7708800|^UNI 5931 M6x25 ZINCATE BIANCHE^|^(IRSAP)^|^PZ^|2|2
^A205510^|^MORSETTO NOVO NERO COMPLETO^||1|^E280200^|^BRACCIO RADIAT. SINTESI-NOVO D^|^A 25 grezzo (INT.PAT) <242>^|^PZ^|1|1
^A205510^|^MORSETTO NOVO NERO COMPLETO^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|29|31.9
^A205510^|^MORSETTO NOVO NERO COMPLETO^||1|^E280300^|^ATTACCO RADIATORE NOVO DA 25 g^|^rezzo <243>^|^PZ^|1|1
^A205510^|^MORSETTO NOVO NERO COMPLETO^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|70|77
^A205510^|^MORSETTO NOVO NERO COMPLETO^||1|^E280500^|^ATTACCO A MURO BANDIERA-VELA-N^|^OVO GREZZO           <241>^|^PZ^|1|1
^A205510^|^MORSETTO NOVO NERO COMPLETO^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|50|55
^A205511^|^MORSETTO NOVO ROSSO  COMPLETO^||1|7708800|^UNI 5931 M6x25 ZINCATE BIANCHE^|^(IRSAP)^|^PZ^|2|2
^A205511^|^MORSETTO NOVO ROSSO  COMPLETO^||1|^E280200^|^BRACCIO RADIAT. SINTESI-NOVO D^|^A 25 grezzo (INT.PAT) <242>^|^PZ^|1|1
^A205511^|^MORSETTO NOVO ROSSO  COMPLETO^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|29|31.9
^A205511^|^MORSETTO NOVO ROSSO  COMPLETO^||1|^E280300^|^ATTACCO RADIATORE NOVO DA 25 g^|^rezzo <243>^|^PZ^|1|1
^A205511^|^MORSETTO NOVO ROSSO  COMPLETO^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|70|77
^A205511^|^MORSETTO NOVO ROSSO  COMPLETO^||1|^E280500^|^ATTACCO A MURO BANDIERA-VELA-N^|^OVO GREZZO           <241>^|^PZ^|1|1
^A205511^|^MORSETTO NOVO ROSSO  COMPLETO^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|50|55
^A205512^|^MORSETTO NOVO VERDE COMPLETO^||1|7708800|^UNI 5931 M6x25 ZINCATE BIANCHE^|^(IRSAP)^|^PZ^|2|2
^A205512^|^MORSETTO NOVO VERDE COMPLETO^||1|^E280200^|^BRACCIO RADIAT. SINTESI-NOVO D^|^A 25 grezzo (INT.PAT) <242>^|^PZ^|1|1
^A205512^|^MORSETTO NOVO VERDE COMPLETO^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|29|31.9
^A205512^|^MORSETTO NOVO VERDE COMPLETO^||1|^E280300^|^ATTACCO RADIATORE NOVO DA 25 g^|^rezzo <243>^|^PZ^|1|1
^A205512^|^MORSETTO NOVO VERDE COMPLETO^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|70|77
^A205512^|^MORSETTO NOVO VERDE COMPLETO^||1|^E280500^|^ATTACCO A MURO BANDIERA-VELA-N^|^OVO GREZZO           <241>^|^PZ^|1|1
^A205512^|^MORSETTO NOVO VERDE COMPLETO^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|50|55
^A205513^|^MORSETTO NOVO VERDE VIVACE COM^|^PLETO^|1|7708800|^UNI 5931 M6x25 ZINCATE BIANCHE^|^(IRSAP)^|^PZ^|2|2
^A205513^|^MORSETTO NOVO VERDE VIVACE COM^|^PLETO^|1|^E280200^|^BRACCIO RADIAT. SINTESI-NOVO D^|^A 25 grezzo (INT.PAT) <242>^|^PZ^|1|1
^A205513^|^MORSETTO NOVO VERDE VIVACE COM^|^PLETO^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|29|31.9
^A205513^|^MORSETTO NOVO VERDE VIVACE COM^|^PLETO^|1|^E280300^|^ATTACCO RADIATORE NOVO DA 25 g^|^rezzo <243>^|^PZ^|1|1
^A205513^|^MORSETTO NOVO VERDE VIVACE COM^|^PLETO^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|70|77
^A205513^|^MORSETTO NOVO VERDE VIVACE COM^|^PLETO^|1|^E280500^|^ATTACCO A MURO BANDIERA-VELA-N^|^OVO GREZZO           <241>^|^PZ^|1|1
^A205513^|^MORSETTO NOVO VERDE VIVACE COM^|^PLETO^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|50|55
^A205514^|^MORSETTO NOVO COMPLETO grezzo^|^<241-242-243>^|1|7708800|^UNI 5931 M6x25 ZINCATE BIANCHE^|^(IRSAP)^|^PZ^|2|2
^A205514^|^MORSETTO NOVO COMPLETO grezzo^|^<241-242-243>^|1|7900048|^CARTONI 400x300x200^||^PZ^|0.01|0.01
^A205514^|^MORSETTO NOVO COMPLETO grezzo^|^<241-242-243>^|1|^E280200^|^BRACCIO RADIAT. SINTESI-NOVO D^|^A 25 grezzo (INT.PAT) <242>^|^PZ^|1|1
^A205514^|^MORSETTO NOVO COMPLETO grezzo^|^<241-242-243>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|29|31.9
^A205514^|^MORSETTO NOVO COMPLETO grezzo^|^<241-242-243>^|1|^E280300^|^ATTACCO RADIATORE NOVO DA 25 g^|^rezzo <243>^|^PZ^|1|1
^A205514^|^MORSETTO NOVO COMPLETO grezzo^|^<241-242-243>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|70|77
^A205514^|^MORSETTO NOVO COMPLETO grezzo^|^<241-242-243>^|1|^E280500^|^ATTACCO A MURO BANDIERA-VELA-N^|^OVO GREZZO           <241>^|^PZ^|1|1
^A205514^|^MORSETTO NOVO COMPLETO grezzo^|^<241-242-243>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|50|55
^A205515^|^MORSETTO NOVO CROMO C/MARCHIO^|^<241-242-243>^|1|7708800|^UNI 5931 M6x25 ZINCATE BIANCHE^|^(IRSAP)^|^PZ^|2|2
^A205515^|^MORSETTO NOVO CROMO C/MARCHIO^|^<241-242-243>^|1|7900048|^CARTONI 400x300x200^||^PZ^|0.01|0.01
^A205515^|^MORSETTO NOVO CROMO C/MARCHIO^|^<241-242-243>^|1|^E280200^|^BRACCIO RADIAT. SINTESI-NOVO D^|^A 25 grezzo (INT.PAT) <242>^|^PZ^|1|1
^A205515^|^MORSETTO NOVO CROMO C/MARCHIO^|^<241-242-243>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|29|31.9
^A205515^|^MORSETTO NOVO CROMO C/MARCHIO^|^<241-242-243>^|1|^E280300^|^ATTACCO RADIATORE NOVO DA 25 g^|^rezzo <243>^|^PZ^|1|1
^A205515^|^MORSETTO NOVO CROMO C/MARCHIO^|^<241-242-243>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|70|77
^A205515^|^MORSETTO NOVO CROMO C/MARCHIO^|^<241-242-243>^|1|^E280500^|^ATTACCO A MURO BANDIERA-VELA-N^|^OVO GREZZO           <241>^|^PZ^|1|1
^A205515^|^MORSETTO NOVO CROMO C/MARCHIO^|^<241-242-243>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|50|55
^A205516^|^MORSETTO NOVO S/M BIANCO COMPL^|^ETO <241-242-243>^|1|7708800|^UNI 5931 M6x25 ZINCATE BIANCHE^|^(IRSAP)^|^PZ^|2|2
^A205516^|^MORSETTO NOVO S/M BIANCO COMPL^|^ETO <241-242-243>^|1|7900048|^CARTONI 400x300x200^||^PZ^|0.01|0.01
^A205516^|^MORSETTO NOVO S/M BIANCO COMPL^|^ETO <241-242-243>^|1|^E280200^|^BRACCIO RADIAT. SINTESI-NOVO D^|^A 25 grezzo (INT.PAT) <242>^|^PZ^|1|1
^A205516^|^MORSETTO NOVO S/M BIANCO COMPL^|^ETO <241-242-243>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|29|31.9
^A205516^|^MORSETTO NOVO S/M BIANCO COMPL^|^ETO <241-242-243>^|1|^E280300^|^ATTACCO RADIATORE NOVO DA 25 g^|^rezzo <243>^|^PZ^|1|1
^A205516^|^MORSETTO NOVO S/M BIANCO COMPL^|^ETO <241-242-243>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|70|77
^A205516^|^MORSETTO NOVO S/M BIANCO COMPL^|^ETO <241-242-243>^|1|^E280500^|^ATTACCO A MURO BANDIERA-VELA-N^|^OVO GREZZO           <241>^|^PZ^|1|1
^A205516^|^MORSETTO NOVO S/M BIANCO COMPL^|^ETO <241-242-243>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|50|55
^A205601^|^MORSETTO COMPLETO SERIE VELA^|^BIANCO  <241-244-245>^|1|7708800|^UNI 5931 M6x25 ZINCATE BIANCHE^|^(IRSAP)^|^PZ^|2|2
^A205601^|^MORSETTO COMPLETO SERIE VELA^|^BIANCO  <241-244-245>^|1|7900048|^CARTONI 400x300x200^||^PZ^|0.01|0.01
^A205601^|^MORSETTO COMPLETO SERIE VELA^|^BIANCO  <241-244-245>^|1|^E280500^|^ATTACCO A MURO BANDIERA-VELA-N^|^OVO GREZZO           <241>^|^PZ^|1|1
^A205601^|^MORSETTO COMPLETO SERIE VELA^|^BIANCO  <241-244-245>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|50|55
^A205601^|^MORSETTO COMPLETO SERIE VELA^|^BIANCO  <241-244-245>^|1|^E280600^|^ATTACCO RADIATORE SERIE VELA g^|^rezzo <244>^|^PZ^|1|1
^A205601^|^MORSETTO COMPLETO SERIE VELA^|^BIANCO  <241-244-245>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|85|93.5
^A205601^|^MORSETTO COMPLETO SERIE VELA^|^BIANCO  <241-244-245>^|1|^E280700^|^BRACCIO RADIATORE SERIE VELA g^|^rezzo  <245>^|^PZ^|1|1
^A205601^|^MORSETTO COMPLETO SERIE VELA^|^BIANCO  <241-244-245>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|70|77
^A205602^|^MORSETTO COMPLETO SERIE VELA C^|^ROMO <241-244-245>^|1|7708800|^UNI 5931 M6x25 ZINCATE BIANCHE^|^(IRSAP)^|^PZ^|2|2
^A205602^|^MORSETTO COMPLETO SERIE VELA C^|^ROMO <241-244-245>^|1|7900048|^CARTONI 400x300x200^||^PZ^|0.01|0.01
^A205602^|^MORSETTO COMPLETO SERIE VELA C^|^ROMO <241-244-245>^|1|^E280500^|^ATTACCO A MURO BANDIERA-VELA-N^|^OVO GREZZO           <241>^|^PZ^|1|1
^A205602^|^MORSETTO COMPLETO SERIE VELA C^|^ROMO <241-244-245>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|50|55
^A205602^|^MORSETTO COMPLETO SERIE VELA C^|^ROMO <241-244-245>^|1|^E280600^|^ATTACCO RADIATORE SERIE VELA g^|^rezzo <244>^|^PZ^|1|1
^A205602^|^MORSETTO COMPLETO SERIE VELA C^|^ROMO <241-244-245>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|85|93.5
^A205602^|^MORSETTO COMPLETO SERIE VELA C^|^ROMO <241-244-245>^|1|^E280700^|^BRACCIO RADIATORE SERIE VELA g^|^rezzo  <245>^|^PZ^|1|1
^A205602^|^MORSETTO COMPLETO SERIE VELA C^|^ROMO <241-244-245>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|70|77
^A205603^|^MORSETTO COMPLETO SERIE VELA N^|^ERO^|1|7708800|^UNI 5931 M6x25 ZINCATE BIANCHE^|^(IRSAP)^|^PZ^|2|2
^A205603^|^MORSETTO COMPLETO SERIE VELA N^|^ERO^|1|^E280500^|^ATTACCO A MURO BANDIERA-VELA-N^|^OVO GREZZO           <241>^|^PZ^|1|1
^A205603^|^MORSETTO COMPLETO SERIE VELA N^|^ERO^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|50|55
^A205603^|^MORSETTO COMPLETO SERIE VELA N^|^ERO^|1|^E280600^|^ATTACCO RADIATORE SERIE VELA g^|^rezzo <244>^|^PZ^|1|1
^A205603^|^MORSETTO COMPLETO SERIE VELA N^|^ERO^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|85|93.5
^A205603^|^MORSETTO COMPLETO SERIE VELA N^|^ERO^|1|^E280700^|^BRACCIO RADIATORE SERIE VELA g^|^rezzo  <245>^|^PZ^|1|1
^A205603^|^MORSETTO COMPLETO SERIE VELA N^|^ERO^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|70|77
^A205604^|^MORSETTO COMPLETO SERIE VELA N^|^IK/NERO^|1|7708800|^UNI 5931 M6x25 ZINCATE BIANCHE^|^(IRSAP)^|^PZ^|2|2
^A205604^|^MORSETTO COMPLETO SERIE VELA N^|^IK/NERO^|1|^E280500^|^ATTACCO A MURO BANDIERA-VELA-N^|^OVO GREZZO           <241>^|^PZ^|1|1
^A205604^|^MORSETTO COMPLETO SERIE VELA N^|^IK/NERO^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|50|55
^A205604^|^MORSETTO COMPLETO SERIE VELA N^|^IK/NERO^|1|^E280600^|^ATTACCO RADIATORE SERIE VELA g^|^rezzo <244>^|^PZ^|1|1
^A205604^|^MORSETTO COMPLETO SERIE VELA N^|^IK/NERO^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|85|93.5
^A205604^|^MORSETTO COMPLETO SERIE VELA N^|^IK/NERO^|1|^E280700^|^BRACCIO RADIATORE SERIE VELA g^|^rezzo  <245>^|^PZ^|1|1
^A205604^|^MORSETTO COMPLETO SERIE VELA N^|^IK/NERO^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|70|77
^A205605^|^MORSETTO COMPLETO SERIE VELA N^|^IKEL ORO^|1|7708800|^UNI 5931 M6x25 ZINCATE BIANCHE^|^(IRSAP)^|^PZ^|2|2
^A205605^|^MORSETTO COMPLETO SERIE VELA N^|^IKEL ORO^|1|^E280500^|^ATTACCO A MURO BANDIERA-VELA-N^|^OVO GREZZO           <241>^|^PZ^|1|1
^A205605^|^MORSETTO COMPLETO SERIE VELA N^|^IKEL ORO^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|50|55
^A205605^|^MORSETTO COMPLETO SERIE VELA N^|^IKEL ORO^|1|^E280600^|^ATTACCO RADIATORE SERIE VELA g^|^rezzo <244>^|^PZ^|1|1
^A205605^|^MORSETTO COMPLETO SERIE VELA N^|^IKEL ORO^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|85|93.5
^A205605^|^MORSETTO COMPLETO SERIE VELA N^|^IKEL ORO^|1|^E280700^|^BRACCIO RADIATORE SERIE VELA g^|^rezzo  <245>^|^PZ^|1|1
^A205605^|^MORSETTO COMPLETO SERIE VELA N^|^IKEL ORO^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|70|77
^A205606^|^MORSETTO COMPLETO SERIE VELA^|^GREZZO  <241-244-245>^|1|7708800|^UNI 5931 M6x25 ZINCATE BIANCHE^|^(IRSAP)^|^PZ^|2|2
^A205606^|^MORSETTO COMPLETO SERIE VELA^|^GREZZO  <241-244-245>^|1|^E280500^|^ATTACCO A MURO BANDIERA-VELA-N^|^OVO GREZZO           <241>^|^PZ^|1|1
^A205606^|^MORSETTO COMPLETO SERIE VELA^|^GREZZO  <241-244-245>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|50|55
^A205606^|^MORSETTO COMPLETO SERIE VELA^|^GREZZO  <241-244-245>^|1|^E280600^|^ATTACCO RADIATORE SERIE VELA g^|^rezzo <244>^|^PZ^|1|1
^A205606^|^MORSETTO COMPLETO SERIE VELA^|^GREZZO  <241-244-245>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|85|93.5
^A205606^|^MORSETTO COMPLETO SERIE VELA^|^GREZZO  <241-244-245>^|1|^E280700^|^BRACCIO RADIATORE SERIE VELA g^|^rezzo  <245>^|^PZ^|1|1
^A205606^|^MORSETTO COMPLETO SERIE VELA^|^GREZZO  <241-244-245>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|70|77
^A205702^|^MORSETTO BANDIERA BIANCO^||1|7708800|^UNI 5931 M6x25 ZINCATE BIANCHE^|^(IRSAP)^|^PZ^|2|2
^A205702^|^MORSETTO BANDIERA BIANCO^||1|7900048|^CARTONI 400x300x200^||^PZ^|0.01|0.01
^A205702^|^MORSETTO BANDIERA BIANCO^||1|^E280400^|^ATTACCO RAD.BANDIERA GREZZO^|^<270>^|^PZ^|1|1
^A205702^|^MORSETTO BANDIERA BIANCO^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|84|92.4
^A205702^|^MORSETTO BANDIERA BIANCO^||1|^E280401^|^BRACCIO RADIATORE BANDIERA gre^|^zzo ** <270>^|^PZ^|1|1
^A205702^|^MORSETTO BANDIERA BIANCO^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|45|49.5
^A205702^|^MORSETTO BANDIERA BIANCO^||1|^E280500^|^ATTACCO A MURO BANDIERA-VELA-N^|^OVO GREZZO           <241>^|^PZ^|1|1
^A205702^|^MORSETTO BANDIERA BIANCO^||2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|50|55
^A205703^|^MORSETTO BANDIERA CROMO^|^<270>^|1|7708800|^UNI 5931 M6x25 ZINCATE BIANCHE^|^(IRSAP)^|^PZ^|2|2
^A205703^|^MORSETTO BANDIERA CROMO^|^<270>^|1|7900048|^CARTONI 400x300x200^||^PZ^|0.01|0.01
^A205703^|^MORSETTO BANDIERA CROMO^|^<270>^|1|^E280400^|^ATTACCO RAD.BANDIERA GREZZO^|^<270>^|^PZ^|1|1
^A205703^|^MORSETTO BANDIERA CROMO^|^<270>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|84|92.4
^A205703^|^MORSETTO BANDIERA CROMO^|^<270>^|1|^E280401^|^BRACCIO RADIATORE BANDIERA gre^|^zzo ** <270>^|^PZ^|1|1
^A205703^|^MORSETTO BANDIERA CROMO^|^<270>^|2|9050001|^PANI ALLUMINIO GDALSI 12^|^EN AB 46100^|^GR^|45|49.5
^A205703^|^MORSETTO BANDIERA CROMO^|^<270>^|1|^E280500^|^ATTACCO A MURO BANDIERA-VELA-N^|^OVO GREZZO           <241>^|^PZ^|1|1
